source_id,video_id,catalog_name,created_at,updated_at,duration_ms,width,height,avg_bitrate,expected_size_bytes,actual_size_bytes,sha256,local_archive_path,metadata_capture_path,speech_caption_status,acquired_at
SRC-MGB-VIDEO-0001,5480386429001,FCC Overview (3:10),2017-06-22T19:33:42.021Z,2017-09-13T13:37:31.483Z,194652,752,540,624000,15297226,15297226,4e03f30ed9dde01e0a91fc3d0767bfafc62c3d095af83e94a83c57b24ba008fb,research/fedex-ground-driver-knowledge/sources/mygroundbiz/brightcove/SRC-MGB-VIDEO-0001-5480386429001.mp4,captures/mygroundbiz/brightcove/SRC-MGB-VIDEO-0001-5480386429001.json,NONE_EXPOSED_BY_PLAYBACK_API,2026-08-09
SRC-MGB-VIDEO-0002,5480362561001,FCC Messaging (3:06),2017-06-22T19:11:10.538Z,2017-09-13T13:37:15.447Z,191633,800,450,416000,10091808,10091808,b0ed46acdb66a871cd39c9032362dd1c3ea175f4b330288caae0e882453ba608,research/fedex-ground-driver-knowledge/sources/mygroundbiz/brightcove/SRC-MGB-VIDEO-0002-5480362561001.mp4,captures/mygroundbiz/brightcove/SRC-MGB-VIDEO-0002-5480362561001.json,NONE_EXPOSED_BY_PLAYBACK_API,2026-08-09
SRC-MGB-VIDEO-0003,5480356333001,FCC P&D Manifests (3:48),2017-06-22T19:11:16.963Z,2017-09-13T13:37:33.366Z,229645,752,540,952000,27488446,27488446,88eed443719b558693fb1e8bcf6500f0c8d9ef038b15dbf2f9df9eab7712d43a,research/fedex-ground-driver-knowledge/sources/mygroundbiz/brightcove/SRC-MGB-VIDEO-0003-5480356333001.mp4,captures/mygroundbiz/brightcove/SRC-MGB-VIDEO-0003-5480356333001.json,NONE_EXPOSED_BY_PLAYBACK_API,2026-08-09
SRC-MGB-VIDEO-0004,5480356335001,FCC Svc Area Status (3:11),2017-06-22T19:11:30.366Z,2017-09-13T13:37:29.343Z,191565,752,540,991000,23848646,23848646,263c6ea1c3585832b53edf907dd3d197112fe08e4cdadad03c4ce046e7c7a102,research/fedex-ground-driver-knowledge/sources/mygroundbiz/brightcove/SRC-MGB-VIDEO-0004-5480356335001.mp4,captures/mygroundbiz/brightcove/SRC-MGB-VIDEO-0004-5480356335001.json,NONE_EXPOSED_BY_PLAYBACK_API,2026-08-09
SRC-MGB-VIDEO-0005,5480369902001,FCC Pickup Alerts (1:08),2017-06-22T19:11:20.483Z,2017-09-13T13:36:44.906Z,72739,752,540,657000,6022215,6022215,870e9f68c9dd8bcd49230d82eac82e47cbba9358b1a5e01370440b8812f492ea,research/fedex-ground-driver-knowledge/sources/mygroundbiz/brightcove/SRC-MGB-VIDEO-0005-5480369902001.mp4,captures/mygroundbiz/brightcove/SRC-MGB-VIDEO-0005-5480369902001.json,NONE_EXPOSED_BY_PLAYBACK_API,2026-08-09
SRC-MGB-VIDEO-0006,5480362464001,FCC Pickup Planning (2:55),2017-06-22T19:11:23.317Z,2017-09-13T13:37:27.466Z,180781,752,540,499000,11390415,11390415,d4af7b25f95e78185694c8c22b3b43447246dc1f5b0f77edb0ff6e1a0ed1cf76,research/fedex-ground-driver-knowledge/sources/mygroundbiz/brightcove/SRC-MGB-VIDEO-0006-5480362464001.mp4,captures/mygroundbiz/brightcove/SRC-MGB-VIDEO-0006-5480362464001.json,NONE_EXPOSED_BY_PLAYBACK_API,2026-08-09
